departement,year,election_id,department_id,n,y,p_abstentions,lag_p_abstentions
Haute Marne,2007,4,53,142353,24265,0.17045654113366068,0.27815403890996415
Mayenne,2007,4,54,220022,27871,0.12667369626673697,0.2517802407296651
Meurthe et Moselle,2007,4,55,490248,79148,0.16144481976469052,0.2902264511855085
Meuse,2007,4,56,141267,20957,0.148350287045099,0.26780446388740986
Morbihan,2007,4,57,534901,67572,0.12632617998470744,0.2505561813291431
Moselle,2007,4,58,738889,131991,0.17863440922790838,0.31051847608939503
Nièvre,2007,4,59,169334,27660,0.16334581359915906,0.27735979717833753
Nord,2007,4,60,1776070,340660,0.1918055031614745,0.28880967512934524
Oise,2007,4,61,536752,88504,0.16488806748740573,0.2618037952192556
Orne,2007,4,62,216406,30591,0.14135929687716606,0.255999813271713
Pas de Calais,2007,4,63,1078462,187852,0.17418508950709435,0.2685526393630644
Puy de Dôme,2007,4,64,443260,57492,0.12970265758245725,0.2537015276145711
Pyrénées Atlantiques,2007,4,65,474672,60849,0.12819167762159975,0.2711984957125139
Hautes Pyrénées,2007,4,66,176279,23481,0.13320361472438577,0.24920921157655126
Pyrénées Orientales,2007,4,67,314769,47178,0.14988134155523575,0.2712882019721659
